Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-04-26,7267.86,7284.62,7263.02,7284.62,2230994
2011-04-27,7274.68,7286.08,7263.72,7263.72,3135507
2011-04-28,7255.28,7316.39,7248.34,7316.39,3571232
2011-04-29,7282.08,7286.22,7249.52,7249.52,2575957
2011-05-02,7229.14,7280.94,7222.55,7280.94,2105551
2011-05-04,7230.41,7237.73,7206.74,7206.74,7026577
2011-05-05,7231.22,7239.11,7220,7239.11,5406684
2011-05-06,7260.77,7260.77,7245.63,7245.63,3777136
2011-05-09,7215.85,7218.11,7117.28,7117.28,4129253
2011-05-10,7129.69,7129.69,7089.26,7129.35,10129543
2011-05-11,7115.73,7115.73,7040.63,7040.63,8960685
2011-05-12,6994.13,7028.41,6994.13,6995.37,5380642
2011-05-13,6977.29,6982.48,6967.54,6967.54,6153258
2011-05-16,6976.13,7092.63,6976.13,7092.63,6545267
2011-05-17,7049.25,7049.25,6987.78,6987.78,5497572
2011-05-18,7035.28,7035.28,7000.74,7000.74,4725630
2011-05-19,7085.96,7093.29,7006.4,7006.4,7053333
2011-05-20,7071.81,7071.81,7018.84,7018.84,2493865
2011-05-23,6940.84,7024.19,6940.84,7024.19,4327954
2011-05-24,6989.43,7040.92,6989.43,7040.92,5313194
2011-05-25,7011.76,7046.57,7011.76,7046.57,4268913
2011-05-26,7009.56,7009.56,6983.35,6983.35,3923082
2011-05-27,6991.26,6991.26,6976.36,6976.36,4488594
2011-05-30,7007.99,7027.3,7007.99,7027.3,2141704
2011-05-31,7098.51,7126.36,7098.51,7112.78,9123055
2011-06-01,7131.9,7131.9,7107.09,7107.09,4670244
2011-06-02,7146.54,7146.54,7109.33,7109.33,3355680
2011-06-03,7090.38,7090.38,7028.75,7072.22,3651095
2011-06-06,7052.63,7052.63,7012.9,7012.9,3282334
2011-06-07,7096.99,7096.99,7063.16,7063.16,7466466
2011-06-08,7051.46,7068.67,7043.17,7068.67,3497539
2011-06-09,6999.78,7034.05,6999.78,7017.97,6829300
2011-06-10,7021.58,7021.58,6993.31,6993.31,2206886
2011-06-13,6995.14,7047.31,6995.14,7047.31,1723429
2011-06-14,7069.13,7071.91,7059.17,7071.91,6317232
2011-06-15,7015.13,7015.13,6999.15,7006.36,5470913
2011-06-16,7001.46,7001.46,6983.24,6983.24,7398740
2011-06-17,6981.69,7031.62,6981.69,7031.62,10367969
2011-06-20,7011.72,7012.41,6949.84,6949.84,2364961
2011-06-21,6981.17,6981.17,6939.19,6974.56,5058486
2011-06-22,6953.53,6953.53,6864.66,6864.66,9275076
2011-06-24,6875.55,6875.55,6775.71,6775.71,7721456
2011-06-27,6763.49,6763.49,6695.43,6761.22,8132783
2011-06-28,6733.11,6754.15,6733.11,6750.09,7608556
2011-06-29,6771.1,6802.37,6771.1,6800.82,3324187
2011-06-30,6842.82,6842.82,6797.36,6801.48,7339409
2011-07-01,6809.18,6846.61,6780.16,6846.61,2413166
